IDGRID;DAY;DOY;PHENOLOGY
1059152;7/6/2003;158;Sowing
1059152;31/7/2003;212;Flowering
1059152;10/6/2004;162;Sowing
1059152;6/8/2004;219;Flowering
1059152;6/6/2005;157;Sowing
1059152;4/8/2005;216;Flowering
1059152;29/5/2006;149;Sowing
1059152;31/7/2006;212;Flowering
1059152;1/6/2007;152;Sowing
1059152;26/7/2007;207;Flowering
1059152;28/5/2008;149;Sowing
1059152;25/7/2008;207;Flowering
1059152;26/5/2009;146;Sowing
1059152;27/7/2009;208;Flowering
1059152;29/5/2010;149;Sowing
1059152;29/7/2010;210;Flowering
1059152;3/6/2011;154;Sowing
1059152;1/8/2011;213;Flowering
1059152;13/6/2012;165;Sowing
1059152;2/8/2012;215;Flowering
1059152;5/6/2013;156;Sowing
1059152;2/8/2013;214;Flowering
1059152;10/6/2014;161;Sowing
1059152;8/8/2014;220;Flowering
1059152;4/6/2015;155;Sowing
1059152;2/8/2015;214;Flowering
1059152;11/6/2016;163;Sowing
1059152;3/8/2016;216;Flowering
1059152;7/6/2017;158;Sowing
1059152;3/8/2017;215;Flowering
1059152;1/6/2018;152;Sowing
1059152;30/7/2018;211;Flowering
1059153;4/6/2003;155;Sowing
1059153;30/7/2003;211;Flowering
1059153;4/6/2004;156;Sowing
1059153;4/8/2004;217;Flowering
1059153;31/5/2005;151;Sowing
1059153;2/8/2005;214;Flowering
1059153;19/5/2006;139;Sowing
1059153;25/7/2006;206;Flowering
1059153;18/5/2007;138;Sowing
1059153;21/7/2007;202;Flowering
1059153;21/5/2008;142;Sowing
1059153;21/7/2008;203;Flowering
1059153;23/5/2009;143;Sowing
1059153;26/7/2009;207;Flowering
1059153;29/5/2010;149;Sowing
1059153;31/7/2010;212;Flowering
1059153;2/6/2011;153;Sowing
1059153;2/8/2011;214;Flowering
1059153;11/6/2012;163;Sowing
1059153;1/8/2012;214;Flowering
1059153;31/5/2013;151;Sowing
1059153;1/8/2013;213;Flowering
1059153;6/6/2014;157;Sowing
1059153;6/8/2014;218;Flowering
1059153;31/5/2015;151;Sowing
1059153;1/8/2015;213;Flowering
1059153;8/6/2016;160;Sowing
1059153;3/8/2016;216;Flowering
1059153;4/6/2017;155;Sowing
1059153;2/8/2017;214;Flowering
1059153;2/6/2018;153;Sowing
1059153;2/8/2018;214;Flowering
1060152;6/6/2004;158;Sowing
1060152;4/8/2004;217;Flowering
1060152;30/5/2005;150;Sowing
1060152;31/7/2005;212;Flowering
1060152;21/5/2006;141;Sowing
1060152;25/7/2006;206;Flowering
1060152;19/5/2007;139;Sowing
1060152;20/7/2007;201;Flowering
1060152;19/5/2008;140;Sowing
1060152;19/7/2008;201;Flowering
1060152;22/5/2009;142;Sowing
1060152;24/7/2009;205;Flowering
1060152;25/5/2010;145;Sowing
1060152;25/7/2010;206;Flowering
1060152;2/6/2011;153;Sowing
1060152;30/7/2011;211;Flowering
1060152;11/6/2012;163;Sowing
1060152;30/7/2012;212;Flowering
1060152;30/5/2013;150;Sowing
1060152;29/7/2013;210;Flowering
1060152;6/6/2014;157;Sowing
1060152;4/8/2014;216;Flowering
1060152;1/6/2015;152;Sowing
1060152;30/7/2015;211;Flowering
1060152;7/6/2016;159;Sowing
1060152;1/8/2016;214;Flowering
1060152;5/6/2017;156;Sowing
1060152;31/7/2017;212;Flowering
1060152;24/5/2018;144;Sowing
1060152;24/7/2018;205;Flowering
1060153;4/6/2003;155;Sowing
1060153;31/7/2003;212;Flowering
1060153;31/5/2004;152;Sowing
1060153;2/8/2004;215;Flowering
1060153;31/5/2005;151;Sowing
1060153;2/8/2005;214;Flowering
1060153;25/5/2006;145;Sowing
1060153;29/7/2006;210;Flowering
1060153;24/5/2007;144;Sowing
1060153;23/7/2007;204;Flowering
1060153;19/5/2008;140;Sowing
1060153;20/7/2008;202;flowering
1060153;24/5/2009;144;Sowing
1060153;26/7/2009;207;Flowering
1060153;27/5/2010;147;Sowing
1060153;28/7/2010;209;Flowering
1060153;2/6/2011;153;Sowing
1060153;31/7/2011;212;Flowering
1060153;11/6/2012;163;Sowing
1060153;31/7/2012;213;Flowering
1060153;26/5/2013;146;Sowing
1060153;28/7/2013;209;Flowering
1060153;2/6/2014;153;Sowing
1060153;3/8/2014;215;Flowering
1060153;1/6/2015;152;Sowing
1060153;31/7/2015;212;Flowering
1060153;5/6/2016;157;Sowing
1060153;31/7/2016;213;Flowering
1060153;5/6/2017;156;Sowing
1060153;1/8/2017;213;Flowering
1060153;26/5/2018;146;Sowing
1060153;27/7/2018;208;Flowering
1062154;29/4/2003;119;Sowing
1062154;13/7/2003;194;Flowering
1062154;20/5/2004;141;Sowing
1062154;4/8/2004;217;Flowering
1062154;29/5/2005;149;Sowing
1062154;6/8/2005;218;Flowering
1062154;25/5/2006;145;Sowing
1062154;4/8/2006;216;Flowering
1062154;15/4/2007;105;Sowing
1062154;10/7/2007;191;Flowering
1062154;21/4/2008;112;Flowering
1062154;14/7/2008;196;Flowering
1062154;25/5/2009;145;Sowing
1062154;31/7/2009;212;Flowering
1062154;26/5/2010;146;Sowing
1062154;1/8/2010;213;Flowering
1062154;10/6/2011;161;Sowing
1062154;10/8/2011;222;Flowering
1062154;20/6/2012;172;Sowing
1062154;13/8/2012;226;Flowering
1062154;4/6/2013;155;Sowing
1062154;7/8/2013;219;Flowering
1062154;9/4/2014;99;Sowing
1062154;15/7/2014;196;Flowering
1062154;21/3/2015;80;Sowing
1062154;7/7/2015;188;Flowering
1062154;14/6/2016;166;Sowing
1062154;10/8/2016;223;Flowering
1062154;19/5/2017;139;Sowing
1062154;26/7/2017;207;Flowering
1062154;7/4/2018;97;Sowing
1062154;2/7/2018;183;Flowering
