year,IDGRID,DOY
2003,1059152,158
2003,1059152,212
2003,1059153,155
2003,1059153,211
2003,1060153,155
2003,1060153,212
2003,1062154,119
2003,1062154,194
2004,1059152,162
2004,1059152,219
2004,1059153,156
2004,1059153,217
2004,1060152,158
2004,1060152,217
2004,1060153,152
2004,1060153,215
2004,1062154,141
2004,1062154,217
2005,1059152,157
2005,1059152,216
2005,1059153,151
2005,1059153,214
2005,1060152,150
2005,1060152,212
2005,1060153,151
2005,1060153,214
2005,1062154,149
2005,1062154,218
2006,1059152,149
2006,1059152,212
2006,1059153,139
2006,1059153,206
2006,1060152,141
2006,1060152,206
2006,1060153,145
2006,1060153,210
2006,1062154,145
2006,1062154,216
2007,1059152,152
2007,1059152,207
2007,1059153,138
2007,1059153,202
2007,1060152,139
2007,1060152,201
2007,1060153,144
2007,1060153,204
2007,1062154,105
2007,1062154,191
2008,1059152,149
2008,1059152,207
2008,1059153,142
2008,1059153,203
2008,1060152,140
2008,1060152,201
2008,1060153,140
2008,1060153,202
2008,1062154,112
2008,1062154,196
2009,1059152,146
2009,1059152,208
2009,1059153,143
2009,1059153,207
2009,1060152,142
2009,1060152,205
2009,1060153,144
2009,1060153,207
2009,1062154,145
2009,1062154,212
2010,1059152,149
2010,1059152,210
2010,1059153,149
2010,1059153,212
2010,1060152,145
2010,1060152,206
2010,1060153,147
2010,1060153,209
2010,1062154,146
2010,1062154,213
2011,1059152,154
2011,1059152,213
2011,1059153,153
2011,1059153,214
2011,1060152,153
2011,1060152,211
2011,1060153,153
2011,1060153,212
2011,1062154,161
2011,1062154,222
2012,1059152,165
2012,1059152,215
2012,1059153,163
2012,1059153,214
2012,1060152,163
2012,1060152,212
2012,1060153,163
2012,1060153,213
2012,1062154,172
2012,1062154,226
2013,1059152,156
2013,1059152,214
2013,1059153,151
2013,1059153,213
2013,1060152,150
2013,1060152,210
2013,1060153,146
2013,1060153,209
2013,1062154,155
2013,1062154,219
2014,1059152,161
2014,1059152,220
2014,1059153,157
2014,1059153,218
2014,1060152,157
2014,1060152,216
2014,1060153,153
2014,1060153,215
2014,1062154,99
2014,1062154,196
2015,1059152,155
2015,1059152,214
2015,1059153,151
2015,1059153,213
2015,1060152,152
2015,1060152,211
2015,1060153,152
2015,1060153,212
2015,1062154,80
2015,1062154,188
2016,1059152,163
2016,1059152,216
2016,1059153,160
2016,1059153,216
2016,1060152,159
2016,1060152,214
2016,1060153,157
2016,1060153,213
2016,1062154,166
2016,1062154,223
2017,1059152,158
2017,1059152,215
2017,1059153,155
2017,1059153,214
2017,1060152,156
2017,1060152,212
2017,1060153,156
2017,1060153,213
2017,1062154,139
2017,1062154,207
2018,1059152,152
2018,1059152,211
2018,1059153,153
2018,1059153,214
2018,1060152,144
2018,1060152,205
2018,1060153,146
2018,1060153,208
2018,1062154,97
2018,1062154,183
